Name,Cuisine,Ratings,Review,Map,Open Time,Close Time,Payment Methods,Best Dishes,Budget in USD,Phone Number
Fresh Fish & Meat (El Hatillo),Pescados y Mariscos,4.6,182,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 9:00am, 7:00pm,mastercard & amex,"Hamburguesa jim smith, Trio de hamburguesas, Hamburguesa Bayliss",6.66,0212-211.5524
Sottovoce,Mediterránea,4.6,180,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:30pm,mastercard & visa,"Focaccia de jamón serrano y mascarpone, Carpaccio de carne, Cannolis con helado",18.0375,0212-993.6804
Ascugasi,Italiana,4.6,127,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:30am, 5:00pm,mastercard & visa,"Arancini, Pasta salmon y camarones, Pasta Bravisima",8.186250000000001,0212-753.7093
Pasticho By Morandi,Italiana,4.6,100,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 3:00pm,mastercard & visa,"Pasticho de carne, Pasticho de carne, Pasticho de carne",8.602500000000001,0412-600.6532
Das Pastellhaus,Internacional,4.5,548,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 9:00pm,mastercard & visa,"Pizza con base de crema , Ensalada cesar, Brazo Gitano de Fresa",4.7175,0212-963.7655
Lola,Internacional,4.5,456,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 2:00am,mastercard & amex,"Carpaccio de lomito, Dumpling pekin, Cazuelita de chocolate chip ",16.4835,0212-263.9596
Bambú,Japonesa,4.5,453,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 10:00am,mastercard & visa,"Sushi Bambú, Croquetas de salmón, Osaka roll",2.027304,0212-2613601
Frijol,Mexicana,4.5,443,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 8:30pm,mastercard & visa,"Burrito Mixto, Chili con queso, Burrito mixto (porkbelly + pollo)",7.215,0212-2644138
La Esquina,De Autor,4.5,390,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 12:00am,mastercard & amex,"Milhoja de fresas frescas , Pulpo al grill, Huevos benedictinos",11.793750000000001,0412-377.8003
Doña Ines,Venezolana,4.5,383,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 9:00am, 4:30pm,mastercard & visa,"Cachapa de queso y pernil, Jugo consuelo, Cachapa doble queso",6.3825,0212-961.3962
Bonsai Sushi (C. C. Sambil),Japonesa,4.5,127,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 10:00pm,mastercard & visa,"Croquetas de cangrejo, Tokio roll , Island rolls",11.1,0212-2630145
Gordonas,Internacional,4.5,66,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 10:00pm,mastercard & visa,"Dona de chocolate, Dona Glaseado de Limón, choco avellana",0.6105,
Pizza Caracas (La Castellana),Pizzería,4.4,537,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 8:00pm,mastercard & visa,"Peperoni pizza, Carpaccio lomito, Pizza primavera ",13.875,0212-735.1143
Soya,Japonesa,4.4,521,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 12:00am,mastercard & visa,"Soya sushi, Asian crunch, Tiger roll",10.8225,0424-296.1546
El Alazán,Salir a comer,4.4,449,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 12:00am,mastercard & amex,"Baby beef, Marquesa de chocolate, Ensalada césar de berro",5.698,0212-285.0208
Burger Bar Caracas,Gourmet,4.4,311,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 9:30pm,mastercard & visa,"Hamburguesa española, Mmmmm burger, Avocado Burguer",0.49876000000000004,0212-959.0584
Pacífico,Internacional,4.4,272,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & amex,"Rissotto de langosta , Mero al bosque , Crocante de pulpo",16.650000000000002,0212-265.8302
Ikura,Japonesa,4.4,268,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & amex,"Maracuyá Roll, Fuji roll, Tempurizado",7.215,0212-267.6755
El Barquero,Española,4.4,238,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 12:30am,mastercard & amex,"Arroz a la marinera, Parrilla de mariscos especial, Camarones al Ajillo",1.260923,0212-261.4645
Pika's,Internacional,4.4,184,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:30am, 9:30pm,mastercard & visa,"Hamburguesa Texas , Hamburguesa cheese lovers, Hamburguesa Libertad",13.32,0212-451.3045
El Rincón Andino,Venezolana,4.4,130,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 5:00pm,mastercard & amex,"Pisca andina, Trucha con mojito de aji dulce, Carabina de bocono",8.325000000000001,0212-951.5323
Symphony Deli Café (El Paraiso),Internacional,4.4,99,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 10:00pm,mastercard & visa,"Paraíso burger, Pizza parrillera, Milkshake",0.609353,0212-484.3357
La Flor de Altamira,Pizzería,4.4,98,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 6:30am, 9:00pm,mastercard & visa,"Cachito de jamón de pavo , Croisant de pollo con queso fundido, Cachito de Jamon de Pierna",2.775,0212-2620037
Fresh Fish Delivery (Lido),Salir a comer,4.4,25,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 6:00pm,mastercard & visa,None,4.85625,0212-952.4265
Danubio (Chacao),Internacional,4.3,369,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 8:30pm,mastercard & visa,"Pie de limón, Mousse de parchita, Pastelitos de queso",4.995,0212-263.7563
Gourmet Market,Internacional,4.3,202,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 6:00am, 12:00am,mastercard & amex,"Sushi pizza, Torta Brooklyn, Torta de oreo",0.916675,0212-951.3884
El Chef Chino,China,4.3,105,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 10:00pm,mastercard & visa,"Arroz cantonés, Cacerola de berenjenas, Pollo en salsa de miel con ajonjoli",10.637500000000001,0212-731.0080
La Dolce Vita,Italiana,4.3,101,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & visa,"Ravioli relleno de ricota y espinaca., Lasagna, Lomito",4.1625000000000005,0212-2618579
El Pizzaccio,Italiana,4.3,80,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 10:00pm,mastercard & visa,"Carpaccio de lomito, Pizza primavera, Pizzaccio",0.592666,0212-963.8063
La Charlot,Internacional,4.3,53,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 6:30am, 9:30pm,mastercard & amex,"Club house , Pasta seca, Pastel de manzana ",12.834375,0212-481.4141
Buffalo Wings (CSI),Salir a comer,4.2,404,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 12:00am,mastercard & visa,"Combiwings, Alitas bañadas en salsa bbq, Combiwings",14.8,0212-263.0721
Buono,Mediterránea,4.2,207,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 12:00am,mastercard & visa,"Merengada de nutella, Trilogía de pastas, Costillas bbq",2.397859,0212-263.0505
Kami Burger,Salir a comer,4.2,130,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 9:00pm,mastercard & visa,"Hamburguesa kami grill , Kami burger doble, Hamburguesa toci-queso",3.538125,0414-372.9605
Paramo Café (Centro),Nacional,4.2,112,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 6:30am, 8:00pm,mastercard & visa,"Café ensueño, Tortas, Frappuccino Páramo",0.29840500000000003,0212-234.3065
Pizpa (Altamira),Pizzería,4.2,95,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 12:00am,mastercard & visa,"Pizza con carpaccio de lomito, Tocipapa, Cebolla Dulce",9.99,0412-730.1139
Maco Bistro,Internacional,4.2,75,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 10:00pm,mastercard & visa,"Lomito en Salsa de Champiñones, Maco burguer, Ensalada Maco",1.598141,
La Piazzetta,Pizzería,4.2,35,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:30am, 12:00am,mastercard & visa,"Tequeños la piazzetta, Mini pizzas, Tequeños tocicheddar",0.2368,0414-794.1004
Olio,Italiana,4.1,285,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & amex,"Angelito con mariscos y tinta de calamar, Fetucini, Pasta al filletto",6.66,0212-2663467
Burger Shack (Altamira),Salir a comer,4.0,1212,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 8:00pm,mastercard & visa,"Hamburguesa Shack, Merengada oreo, Hamburguesa shack doble",11.516250000000001,0212-2615650
Cine Citta,Italiana,4.0,611,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 9:00pm,mastercard & visa,"Moka cine citta, Pizza cine citta, Helado de cheesecake",1.665,0424-243.3203
Chacao Bistro,Venezolana,4.0,410,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 3:00pm,mastercard & amex,"Plato de degustación, Crumble de piña, Plato de degustación",0.6610050000000001,0212-266.4855
D'tapas,Española,4.0,76,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 2:00pm, 12:00am,mastercard & visa,"Arroz a la marinera, Tapa de degustación N° 3, Mojito de piña y coco",7.6312500000000005,0212-961.2889
Casa Lia (Altamira Village),Internacional,4.0,28,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 9:00am, 12:00am,mastercard & visa,"Torta Matilda, Esferas de morcilla, Cookie cake",8.325000000000001,0414-380.4115
T.G.I. Friday's (Altamira),Salir a comer,3.9,407,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & visa,"Brownie con helado, Trio de entradas (alitas de pollo, dedos de mozzarella y conchas de papas), Aros de cebollas",6.9375,0212-264.4527
Taxco,Salir a comer,3.9,351,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:00am, 10:00pm,mastercard & visa,"Hamburguesa con queso, Taxco hamburguesa, Hamburguesas con queso",3.0525,0212-471.3313
El Mercado CCS,Internacional,3.9,24,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 9:00pm,mastercard & visa,None,3.46875,
Miga's (Altamira),Salir a comer,3.7,447,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 10:00pm,mastercard & visa,"Merengada oreo, Caracolas, Sandwich de Pollo Crispy",0.580456,0212-285.7526
Pancho Villa Tacos (Bello Campo),Mexicana,3.6,76,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 9:30pm,mastercard & visa,"Combo Pancho Villa, Triple nachos, Combo Frida., Triple Nachos",4.7175,0212-261.7250
Elvia's Cafe,Internacional,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:00am, 6:00pm,mastercard & visa,"Torta de almendras, Torta de oreo, Torta de Nucita",- - -,0212-4521290
El Zir,Arabe,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 8:00pm,None,None,- - -,0212-873.7267
Pan de Tata,Venezolana,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 7:00pm,mastercard & visa,"Pan de Hamburguesa, Pan de Jamón con Pan de Batata, Pan de Perros Calientes",- - -,0424-272.3773
Cakawa,Venezolana,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:00am, 6:00pm,mastercard & visa,None,- - -,0414-243.0473
Todo Carnes,Salir a comer,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 8:00pm,mastercard & visa,"Hamburguesa Clásica de carne, Parrilla de Carne, Hamburguesa Clásica de carne",- - -,0414-171.7285
La Churrería,Salir a comer,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:00am, 5:00pm,visa,None,- - -,
Dakonon's,Venezolana,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 5:30pm,mastercard & visa,None,- - -,0412-016.2678
Frutiartes,Internacional,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 9:00am, 11:00pm,mastercard & visa,"Mojitos, Club House, Piña Colada",- - -,0212-461.0883
Los Golfeados de Samuel,Internacional,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 9:30am, 5:30pm,mastercard & visa,"Golfeados, Golfeados, Golfeados",- - -,0426-511.3653
Pollo Graduado,Parrillada,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:30am, 10:00pm,None,None,- - -,0424 525.2117
Inversiones Mineo,Italiana,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 4:00pm,mastercard & visa,"Bombas rellebas, Arancini, Pizza  suprema",- - -,0212-265.5592
Buono Fresh,Salir a comer,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 7:00pm,mastercard & visa,None,- - -,0212-236.0545
La Cafetería Coffee Roasters,Venezolana,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 5:00pm,mastercard & visa,None,- - -,
Jajo Food Restaurant & Grill,Internacional,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 10:00pm,mastercard & visa,"Platos de degustacion, Pizza hamburguesa, Platos de degustacion",- - -,0424-190.9931
Norte del Sur,Internacional,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 4:00pm, 11:00pm,mastercard & visa,None,- - -,0212-428.9327
Rosalba,Internacional,5.0,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 6:30am, 9:00pm,mastercard & visa,None,- - -,0212-239.8874
Pizza King (Plaza Las Americas),Pizzería,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 7:00pm,mastercard & visa,None,- - -,
Otazu Wine Bar,Tapas,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 3:00pm, 12:00am,mastercard & visa,None,- - -,0212-986.0554
Il Boss,Italiana,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 6:00pm,mastercard & visa,None,- - -,0212-754.0136
Listo Café,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 9:00am, 6:30pm,mastercard & visa,None,- - -,0212-263.7783
Con Todo y Café,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:30am, 5:00pm,mastercard & visa,None,- - -,0212-744.7147 
Komekoko (Calle Elice),Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 7:00pm,mastercard & visa,None,- - -,
Copos,Venezolana,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:00am, 7:30pm,mastercard & visa,None,- - -,0412-795.9640
Euskera,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:00am, 7:30pm,mastercard & visa,None,- - -,0212-961.6727
Fogón Parrillero,Salir a comer,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 9:00pm,mastercard & visa,None,- - -,0212-754.0136
Mangia Gourmet,Gourmet,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 4:00pm,mastercard & visa,None,None,0212-952.6245
Gourmet Success,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 6:00pm,mastercard & visa,None,- - -,0212-952.8749
Gracitanos,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:30am, 4:30pm,mastercard & amex,"Latte, Espresso, Cappuccino",- - -,
Panaderia Mansión El Marqués,Salir a comer,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 7:00pm,mastercard & visa,None,- - -,0212.237-5027
Ofhelia,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & visa,None,- - -,
Panadería Puerto Viejo,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00am, 5:30pm,mastercard & visa,None,- - -,0212-484.2690
Strawberry,Internacional,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 6:00pm,mastercard & visa,None,- - -,0212-959.9804
Vitalis,Mediterránea,None,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 6:30am, 10:00pm,mastercard & visa,None,- - -,0212-514.1559
Bon Bistro,Mediterránea,4.9,9,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 10:00pm,mastercard & visa,None,- - -,0212-985.6980
Deliceto Café,Internacional,4.9,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 8:00am, 7:00pm,mastercard & visa,None,- - -,
Aiki,Internacional,4.8,53,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 6:00pm,mastercard & visa,"Cupcake choco-banana, Cupcake piña-cambur y nueces, Cupcake choco-canela",- - -,0212-267.1886
El Escondite,Gourmet,4.8,30,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:30pm, 11:00pm,mastercard & visa,"La burrata, El bollo de cachapa relleno, Crema de tomates ahumados",- - -,0414-136.4075
Osaka,China,4.8,19,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 3:00pm y 3:00pm a 6:00pm,mastercard & visa,None,- - -,0212-2660713
L'artesana,Italiana,4.8,13,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 12:00am,mastercard & amex,None,- - -,0414-107.3400
Panes y Tulipanes,Venezolana,4.8,13,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 2:00pm,mastercard & visa,"Pollo a la plancha con tostones, Polvorosa de pollo, Torta de auyama",- - -,0212-263.9469
Susy's Cookies (C.C. Lido),Internacional,4.8,11,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 10:00am, 7:00pm,mastercard & visa,None,- - -,
Josephine Comedor,Internacional,4.8,9,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:30pm, 9:00pm,mastercard & visa,"Huevos Cocot, Tentaculos de pulpo, Entrada de pulpo a la gallega",- - -,0212-963.9719
Fragolate (Valle Arriba),Venezolana,4.8,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 7:00pm,mastercard & visa,"Crema real, Parchita atrevida, Crema real",- - -,
Galanga Casa Thai,Tailandesa,4.8,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 7:00pm, 11:00pm,mastercard & visa,None,- - -,0412-800.6668
Formula 1,Salir a comer,4.8,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:00am, 7:00pm,mastercard & visa,"Patacón zuliano de carne, Tanque full, Patacón zuliano de carne",- - -,0212-626.3410
Los Cabos,Mexicana,4.8,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 11:00pm,mastercard & visa,"Fajitas Los Cabos, Sopa Azteca, Ceviche Championship",- - -,
Da Pina Gourmet,Italiana,4.8,None,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 11:30am, 3:30pm,mastercard & visa,None,- - -,0212-265.7876
Mozart (CCCT),Internacional,4.7,340,"https://www.google.com/maps/dir//10.424642378462,-66.825248748064/@10.424642378462,-66.825248748064,17z", 12:00pm, 5:00pm,mastercard & visa,"Profiteroles, Bombones, Dulce de profiterol",- - -,0212-959.5953
